presentations
"タイトル(日本語)","タイトル(英語)","講演者(日本語)","講演者(英語)","会議名(日本語)","会議名(英語)","発表年月日","開催年月日(From)","開催年月日(To)","招待の有無","記述言語","会議種別","主催者(日本語)","主催者(英語)","開催地(日本語)","開催地(英語)","国・地域","国際・国内会議","国際共著","概要(日本語)","概要(英語)","URL","URL2"
"標津川の蛇行復元がシロザケの遡上行動に与える影響について（バイオロギング）","null","牧口祐也、新居久也、中尾勝哉、上田宏","null","日本バイオロギング研究会第3回シンポジウム","null","2007-09-08","2007-09-08","2007-09-08","FALSE","jpn","oral_presentation","null","null","北海道大学札幌キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"心拍ロガーを用いたシロザケの遡上行動解析","null","牧口祐也、永田鎮也、村田秀樹、上田宏","null","日本バイオロギング研究会第3回シンポジウム","null","2007-09-08","2007-09-08","2007-09-08","FALSE","jpn","oral_presentation","null","null","北海道大学札幌キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"ナノタグを用いたバイオテレメトリーによるシシャモの河川内遡上行動調査","null","新居久也、牧口祐也、上田宏","null","日本水産学会大会","null","2007-03","2007-03","2007-03","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"標津川の蛇行復元がシロザケの遡上行動に与える影響について（春季）","null","牧口祐也、新居久也、中尾勝哉、春日井潔、永田光博、上田宏","null","日本水産学会大会","null","2007-03","2007-03","2007-03","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"バイオテレメトリー手法による標津川におけるシロザケの遡上行動","null","牧口祐也、新居久也、中尾勝哉、上田宏","null","第77回日本動物学会大会松江大会","null","2006-09","2006-09","2006-09","FALSE","jpn","oral_presentation","null","null","島根大学松江キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"バイオテレメトリーによる台湾サラマオマスの河川内行動調査","null","牧口祐也、新居久也、中尾勝哉、廖林芯、郭金泉、上田宏","null","日本水産学会大会","null","2006-03","2006-03","2006-03","FALSE","jpn","oral_presentation","null","null","高知大学朝倉キャンパス","null","JPN","FALSE","TRUE","null","null","null","null"
"標津川におけるサケ科魚類親魚の遡上行動","null","牧口祐也、新居久也、中尾勝哉、春日井潔、杉若圭一、上田宏","null","日本水産学会大会","null","2006-03","2006-03","2006-03","FALSE","jpn","oral_presentation","null","null","高知大学朝倉キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"標津川におけるシロザケとカラフトマスの遡上行動","null","牧口祐也、新居久也、中尾勝哉、上田宏","null","北大-京大-琉大連携フィールド科学シンポジウム","null","2006-07","2006-07","2006-07","FALSE","jpn","poster_presentation","null","null","北海道大学","null","JPN","FALSE","FALSE","null","null","null","null"
"標津川の蛇行復元に伴うサケ科魚類の遡上行動の変化（水産学会）","null","牧口祐也、新居久也、中尾勝哉、上田宏","null","日本水産学会大会","null","2005-03","2005-03","2005-03","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"標津川の蛇行復元に伴うサケ科魚類の遡上行動の変化（魚の研究交流会）","null","牧口祐也、新居久也、中尾勝哉、上田宏","null","魚の研究交流会2005","null","2005-02","2005-02","2005-02","FALSE","jpn","poster_presentation","null","null","北海道立孵化場本場（恵庭）","null","JPN","FALSE","FALSE","null","null","null","null"
"null","Sperm economy in semelparous salmonid species, chum salmon","null","Makiguchi Y., Ichimura M., Kojima T.","null","The 5th Bio-logging Science Symposium","2014-09-22","2014-09-22","2014-09-27","FALSE","eng","poster_presentation","null","null","null","Strasbourg, France","FRA","TRUE","FALSE","null","null","null","null"
"null","Sperm economy associated with paired female size in semelparous salmonid species","null","Makiguchi Y., Ichimura M., Kitayama T., Nemoto T., Kitagawa T., Kojima T.","null","Animal Behavior Society 2014 Conference","2014-08-09","2014-08-09","2014-08-13","FALSE","eng","poster_presentation","null","null","null","Princeton, USA","USA","TRUE","FALSE","null","null","null","null"
"null","Sperm economy in relation to paired female size in semelparous salmonid species","null","Makiguchi Y., Ichimura M., Kitayama T., Nemoto T., Kawabata Y., Kitagawa T., Kojima T.","null","The 2nd Design Symposium on Conservation of Ecosystem (SEASTAR2000)","2014-03-18","2014-03-18","2014-03-19","FALSE","eng","poster_presentation","null","null","null","Kyoto, Japan","JPN","TRUE","FALSE","null","null","null","null"
"null","Physiological biotelemetry study on migratory behavior in salmon","null","Makiguchi Y.","null","1st International Conference on Fish Telemetry, Mystery of Fish Migration","2011-06-18","2011-06-18","2011-06-18","TRUE","eng","invited_oral_presentation","null","null","null","Sapporo, Japan","JPN","TRUE","FALSE","null","null","null","null"
"null","Movement patterns and habitat use of Formosan landlocked salmon in the Chichiawan stream, Taiwan assessed by nano-tag radio telemetry","null","Makiguchi Y., Ueda H.","null","International Conference on Taiwan Salmon Environmental Education","2011-06-11","2011-06-11","2011-06-15","TRUE","eng","invited_oral_presentation","null","null","null","Taipei, Taiwan","TWN","TRUE","FALSE","null","null","null","null"
"null","Biotelemetry study on movement and habitat use of Formosan landlocked salmon (Oncorhynchus masou formosanus) and masu salmon (O. masou)","null","Makiguchi Y., Liao L.Y., Nii H., Nakao K., Gwo J.C., Huang Y.S., Ueda H.","null","1st International Formosa Landlocked Salmon and Masu Salmon Symposium","2009-10-22","2009-10-22","2009-10-26","FALSE","eng","oral_presentation","null","null","null","Taipei, Taiwan","TWN","TRUE","TRUE","null","null","null","null"
"null","Comparison of sex-specific swimming energetics during adult migration in pink salmon","null","Makiguchi Y., Nii H., Nakao K., Ueda H.","null","8th Conference of Fish Telemetry held in Europe","2009-09-14","2009-09-14","2009-09-18","FALSE","eng","oral_presentation","null","null","null","Umea, Sweden","SWE","TRUE","FALSE","null","null","null","null"
"null","CARDIAC ARREST OF SPAWNING CHUM SALMON RECORDED BY ELECTROCARDIOGRAM (ECG) DATALOGGER","null","Makiguchi Y., Konno Y., Ichimura M., Nagata S., Murata H., Kojima T., Ueda H.","null","XXXVIth International Union of Physiological Sciences (IUPS)","2009-07-27","2009-07-27","2009-08-01","FALSE","eng","oral_presentation","null","null","null","Kyoto, Japan","JPN","TRUE","FALSE","null","null","null","null"
"null","Energy use and swimming behavior of pink salmon during upstream migration in the reconstructed segment of the Shibetsu River assessed by electromyogram (EMG) transmitter","null","Makiguchi Y., Konno Y., Nii H., Nakao K., Ueda H.","null","5th World Fisheries Congress (WFC 2008)","2008-10-20","2008-10-20","2008-10-24","FALSE","eng","poster_presentation","null","null","null","Yokohama, Japan","JPN","TRUE","FALSE","null","null","null","null"
"null","Cardiac performance in chum salmon during spawning behaviour recorded by electrocardiogram (ECG) dataloggers","null","Makiguchi Y., Konno Y., Ichimura M., Nagata S., Murata H., Ueda H.","null","3rd International Biologging Science Symposium","2008-09-01","2008-09-01","2008-09-05","FALSE","eng","poster_presentation","null","null","null","Pacific Grove, CA, USA","USA","TRUE","FALSE","null","null","null","null"
"null","Effects of river meander restoration on upstream migration of chum salmon in the Shibetsu River","null","Makiguchi Y., Nii H., Nakao K., Ueda H.","null","Japan-China biologging science symposium JC-BLOSS","2007-11-06","2007-11-06","2007-11-07","FALSE","eng","oral_presentation","null","null","null","Wuhan, Hubei, China","CHN","TRUE","FALSE","null","null","null","null"
"null","The energetic cost of chum salmon during upstream migration in the Shibetsu River","null","Makiguchi Y., Nii H., Nakao K., Ueda H.","null","7th Conference of Fish Telemetry held in Europe","2007-06-17","2007-06-17","2007-06-21","FALSE","eng","oral_presentation","null","null","null","Silkeborg, Denmark","DNK","TRUE","FALSE","null","null","null","null"
"null","Effects of the reconstruction in the Shibetsu River on upstream migration behavior of chum salmon assessed by EMG radio telemetry","null","Makiguchi Y., Nii H., Nakao K., Ueda H.","null","8th International Symposium on Reproductive Physiology of Fish (ISRPF 2007)","2007-06-03","2007-06-03","2007-06-08","FALSE","eng","poster_presentation","null","null","null","Saint-Malo, France","FRA","TRUE","FALSE","null","null","null","null"
"null","Behavioral study on upstream migration of chum salmon in Shibetsu River","null","Makiguchi Y., Nii H., Nakao K., Ueda H.","null","7th International Congress on the Biology of Fish","2006-07-18","2006-07-18","2006-07-22","FALSE","eng","poster_presentation","null","null","null","St John's, Newfoundland, Canada","CAN","TRUE","FALSE","null","null","null","null"
"null","Upstream migration of adult chum and pink salmon in the Shibetsu River (CFTE 2005)","null","Makiguchi Y., Nii H., Nakao K., Ueda H.","null","6th Conference on Fish Telemetry held in Europe","2005-06-05","2005-06-05","2005-06-11","FALSE","eng","poster_presentation","null","null","null","Sesimbra, Portugal","PRT","TRUE","FALSE","null","null","null","null"
"null","Upstream migration of adult chum and pink salmon in the Shibetsu River (COE 2005)","null","Makiguchi Y., Nii H., Nakao K., Ueda H.","null","21st COE program 1st International Symposium","2005-02-26","2005-02-26","2005-02-27","FALSE","eng","poster_presentation","null","null","null","Sapporo, Japan","JPN","TRUE","FALSE","null","null","null","null"
